FID,Source,COD,S2_4,S2_3,S2_2,S2_5,S2_6,S2_7,S2_8,S2_8A,S2_11,S2_12,NDTI,NDVIre,MNDWI
1,Cultivated meadows,11,1518,1138,849,1764,1933,2065,2148,2235,3251,3127,194,750,-4814
2,Cultivated meadows,11,1604,1194,866,1764,1933,2065,2264,2235,3251,3127,194,475,-4628
3,Cultivated meadows,11,1622,1220,886,1854,2021,2156,2288,2290,3390,3270,180,667,-4707
4,Cultivated meadows,11,1670,1246,890,1854,2021,2156,2332,2290,3390,3270,180,522,-4625
5,Cultivated meadows,11,1654,1256,894,1902,2075,2194,2332,2345,3482,3337,213,697,-4698
6,Cultivated meadows,11,1648,1280,918,1902,2075,2194,2364,2345,3482,3337,213,714,-4624
7,Cultivated meadows,11,1710,1302,924,1965,2166,2256,2464,2423,3600,3515,119,694,-4688
8,Cultivated meadows,11,1724,1284,933,1965,2166,2256,2494,2423,3600,3515,119,653,-4742
9,Cultivated meadows,11,1748,1306,935,2044,2199,2337,2494,2534,3678,3619,81,781,-4759
10,Cultivated meadows,11,1734,1332,952,2044,2199,2337,2558,2534,3678,3619,81,821,-4683
11,Cultivated meadows,11,1680,1300,931,1954,2115,2244,2484,2416,3621,3494,178,754,-4717
12,Cultivated meadows,11,1574,1228,900,1954,2115,2244,2336,2416,3621,3494,178,1077,-4935
13,Cultivated meadows,11,1480,1158,841,1716,1932,2070,2222,2237,3365,3267,148,738,-4880
14,Cultivated meadows,11,1438,1120,830,1716,1932,2070,2144,2237,3365,3267,148,881,-5006
15,Cultivated meadows,11,1454,1114,820,1675,1824,2010,2126,2126,3263,3237,40,706,-4910
16,Cultivated meadows,11,1440,1112,814,1675,1824,2010,2106,2126,3263,3237,40,754,-4917
17,Cultivated meadows,11,1400,1100,823,1676,1845,1939,2114,2120,3292,3219,112,897,-4991
18,Cultivated meadows,11,1418,1070,814,1676,1845,1939,2128,2120,3292,3219,112,834,-5094
19,Cultivated meadows,11,1422,1090,808,1670,1831,1935,2132,2110,3247,3197,78,801,-4973
