Source,COD,S2_4,S2_3,S2_2,S2_5,S2_6,S2_7,S2_8,S2_8A,S2_11,S2_12,NDTI,NDVIre,MNDWI
Decay,12,1606,1420,945,2101,3298,3631,3450,3802,3245,2473,1350,1335,-3912
Decay,12,1598,1444,984,2101,3298,3631,3544,3802,3245,2473,1350,1360,-3841
Decay,12,1506,1378,900,2101,3298,3631,3510,3802,3245,2473,1350,1650,-4039
Decay,12,1544,1426,948,2101,3298,3631,3525,3802,3245,2473,1350,1528,-3894
Decay,12,1408,1314,796,2051,3287,3509,3342,3647,3225,2388,1491,1859,-4210
Decay,12,1516,1378,899,2051,3287,3509,3414,3647,3225,2388,1491,1500,-4013
Decay,12,1432,1336,874,2051,3287,3509,3487,3647,3225,2388,1491,1777,-4142
Decay,12,1528,1364,910,2051,3287,3509,3408,3647,3225,2388,1491,1461,-4055
Decay,12,1498,1248,904,1966,2253,2445,2502,2711,3601,3162,649,1351,-4853
Decay,12,1432,1202,850,1932,2263,2458,2457,2773,3529,3009,795,1486,-4919
Decay,12,1510,1224,897,1966,2253,2445,2520,2711,3601,3162,649,1312,-4926
Decay,12,1444,1180,878,1846,2129,2296,2351,2648,3466,3100,557,1222,-4920
Decay,12,1394,1150,849,1776,2072,2269,2312,2551,3445,2998,694,1205,-4995
Decay,12,1406,1146,865,1776,2072,2269,2327,2551,3445,2998,694,1163,-5008
Decay,12,1556,1230,927,1917,2163,2322,2370,2544,3499,3203,442,1039,-4798
Decay,12,1448,1142,885,1846,2129,2296,2326,2648,3466,3100,557,1208,-5043
Decay,12,1428,1144,865,1846,2129,2296,2316,2648,3466,3100,557,1277,-5037
Decay,12,1410,1156,868,1776,2072,2269,2314,2551,3445,2998,694,1149,-4975
Decay,12,1432,1180,879,1776,2072,2269,2301,2551,3445,2998,694,1072,-4897
Decay,12,1542,1228,926,1917,2163,2322,2261,2544,3499,3203,442,1084,-4804
Decay,12,1430,1142,874,1774,2050,2220,2285,2505,3510,3169,511,1074,-5090
Decay,12,1484,1196,897,1857,2173,2324,2338,2560,3545,3200,511,1116,-4955
Decay,12,1514,1230,921,1857,2173,2324,2332,2560,3545,3200,511,1018,-4848
Decay,12,1532,1228,926,1998,2268,2418,2330,2618,3637,3261,545,1320,-4952
Decay,12,1562,1226,906,1998,2268,2418,2374,2618,3637,3261,545,1225,-4958
Decay,12,1572,1232,919,1996,2199,2297,2274,2566,3541,3299,354,1188,-4838
Decay,12,1374,1086,846,1774,2050,2220,2242,2505,3510,3169,511,1271,-5274
Decay,12,1464,1148,889,1774,2050,2220,2237,2505,3510,3169,511,956,-5071
Decay,12,1570,1250,921,1857,2173,2324,2370,2560,3545,3200,511,837,-4786
Decay,12,1670,1296,935,1857,2173,2324,2405,2560,3545,3200,511,530,-4646
Decay,12,1772,1338,961,1998,2268,2418,2474,2618,3637,3261,545,599,-4621
Decay,12,1766,1346,948,1998,2268,2418,2457,2618,3637,3261,545,616,-4598
Decay,12,1690,1280,941,1996,2199,2297,2320,2566,3541,3299,354,830,-4690
Decay,12,1294,1060,814,1556,1870,2033,2178,2330,3202,2836,606,919,-5026
Decay,12,1462,1170,887,1976,2172,2349,2270,2618,3599,3317,408,1495,-5093
Decay,12,1594,1250,921,1976,2172,2349,2398,2618,3599,3317,408,1070,-4844
Decay,12,1764,1364,933,2504,2703,2830,2460,3001,3930,3746,240,1734,-4847
Decay,12,1954,1472,1001,2504,2703,2830,2588,3001,3930,3746,240,1234,-4550
